Station ID,Station Name,Daily Trips (Average),Times Greater than Average
273,Michigan Ave & 18th St,4.1826484018264845,0.95x
218,Wells St & 19th St,4.173410404624278,0.94x
57,Clinton St & Roosevelt Rd,4.150627615062762,0.94x
331,Halsted St & Clybourn Ave (*),4.142857142857143,0.94x
22,May St & Taylor St,4.136170212765958,0.93x
230,Lincoln Ave & Roscoe St,4.115555555555556,0.93x
98,LaSalle St & Washington St,4.101214574898785,0.93x
131,Lincoln Ave & Belmont Ave,4.089361702127659,0.92x
130,Damen Ave & Division St,4.085470085470085,0.92x
627,LaSalle Dr & Huron St (*),3.966292134831461,0.9x
18,Wacker Dr & Washington St,3.9660377358490564,0.9x
343,Racine Ave & Wrightwood Ave,3.9345794392523366,0.89x
636,Orleans St & Hubbard St,3.9172413793103447,0.89x
40,LaSalle St & Adams St,3.896713615023474,0.88x
75,Canal St & Jackson Blvd,3.8764478764478763,0.88x
423,University Ave & 57th St,3.875,0.88x
233,Sangamon St & Washington Blvd,3.8085106382978724,0.86x
89,Financial Pl & Ida B Wells Dr,3.7586206896551726,0.85x
620,Orleans St & Chestnut St (NEXT Apts),3.749090909090909,0.85x
507,Humboldt Blvd & Armitage Ave,3.7384615384615385,0.84x
154,Southport Ave & Belmont Ave,3.7209302325581395,0.84x
333,Ashland Ave & Blackhawk St,3.705627705627706,0.84x
92,Carpenter St & Huron St,3.7025862068965516,0.84x
426,Ellis Ave & 60th St,3.6956521739130435,0.83x
31,Franklin St & Chicago Ave,3.6927710843373496,0.83x
29,Noble St & Milwaukee Ave,3.688775510204082,0.83x
293,Broadway & Wilson Ave,3.6851063829787236,0.83x
213,Leavitt St & North Ave,3.6831683168316833,0.83x
15,Racine Ave & 18th St,3.659090909090909,0.83x
166,Ashland Ave & Wrightwood Ave,3.65296803652968,0.83x
109,900 W Harrison St,3.5972222222222223,0.81x
417,Cornell Ave & Hyde Park Blvd,3.5244444444444443,0.8x
454,Broadway & Granville Ave,3.518867924528302,0.8x
318,Southport Ave & Irving Park Rd,3.5091743119266057,0.79x
239,Western Ave & Leland Ave,3.504950495049505,0.79x
282,Halsted St & Maxwell St,3.4871794871794872,0.79x
511,Albany Ave & Bloomingdale Ave,3.444976076555024,0.78x
420,Ellis Ave & 55th St,3.4210526315789473,0.77x
437,Washtenaw Ave & Ogden Ave,3.3962264150943398,0.77x
119,Ashland Ave & Lake St,3.3840579710144927,0.76x
295,Broadway & Argyle St,3.3719806763285023,0.76x
628,Walsh Park,3.3678756476683938,0.76x
183,Damen Ave & Thomas St (Augusta Blvd),3.3640350877192984,0.76x
308,Seeley Ave & Roscoe St,3.340782122905028,0.75x
350,Ashland Ave & Chicago Ave,3.3261802575107295,0.75x
305,Western Ave & Division St,3.302752293577982,0.75x
241,Morgan St & Polk St,3.262295081967213,0.74x
42,Wabash Ave & Cermak Rd,3.2566844919786098,0.74x
298,Lincoln Ave & Belle Plaine Ave,3.248730964467005,0.73x
50,Clark St & Ida B Wells Dr,3.244131455399061,0.73x
306,Sheridan Rd & Buena Ave,3.221590909090909,0.73x
108,Halsted St & Polk St,3.2196261682242993,0.73x
406,Lake Park Ave & 35th St,3.1867469879518073,0.72x
319,Greenview Ave & Diversey Pkwy,3.182648401826484,0.72x
14,Morgan St & 18th St,3.175925925925926,0.72x
73,Jefferson St & Monroe St,3.168141592920354,0.72x
186,Ogden Ave & Race Ave,3.1586538461538463,0.71x
635,Fairbanks St & Superior St (*),3.1458333333333335,0.71x
364,Larrabee St & Oak St,3.1422018348623855,0.71x
222,Milwaukee Ave & Rockwell St,3.1020408163265305,0.7x
419,Lake Park Ave & 53rd St,3.095744680851064,0.7x
310,Damen Ave & Charleston St,3.0952380952380953,0.7x
458,Broadway & Thorndale Ave,3.094017094017094,0.7x
160,Campbell Ave & North Ave,3.0917874396135265,0.7x
251,Clarendon Ave & Leland Ave,3.0714285714285716,0.69x
129,Blue Island Ave & 18th St,3.0558375634517767,0.69x
259,California Ave & Francis Pl,3.054054054054054,0.69x
346,Ada St & Washington Blvd,3.0473933649289098,0.69x
374,Western Ave & Walton St,3.016597510373444,0.68x
86,Eckhart Park,3.009259259259259,0.68x
326,Clark St & Leland Ave,3.00561797752809,0.68x
564,Racine Ave & 65th St,3.0,0.68x
322,Kimbark Ave & 53rd St,2.9958677685950414,0.68x
320,Loomis St & Lexington St,2.9912663755458517,0.68x
243,Lincoln Ave & Sunnyside Ave,2.9887005649717513,0.68x
506,Spaulding Ave & Armitage Ave,2.985,0.67x
88,Racine Ave & Randolph St,2.9395348837209303,0.66x
451,Sheridan Rd & Loyola Ave,2.931578947368421,0.66x
162,Damen Ave & Wellington Ave,2.931216931216931,0.66x
228,Damen Ave & Melrose Ave,2.927710843373494,0.66x
215,Damen Ave & Madison St,2.9244444444444446,0.66x
323,Sheridan Rd & Lawrence Ave,2.9226190476190474,0.66x
244,Ravenswood Ave & Irving Park Rd,2.8978494623655915,0.65x
178,State St & 19th St,2.8820224719101124,0.65x
